Name,Region,Elo,Regional League Rank
ManCity,England,2024,1
Liverpool,England,1980,1
Tottenham,England,1864,1
Arsenal,England,1860,1
Chelsea,England,1851,1
ManUnited,England,1800,1
Brighton,England,1777,1
Newcastle,England,1755,1
WestHam,England,1754,1
CrystalPalace,England,1747,1
Brentford,England,1727,1
Leicester,England,1725,1
AstonVilla,England,1708,1
Wolves,England,1706,1
Leeds,England,1701,1
Everton,England,1687,1
Southampton,England,1668,1
Fulham,England,1651,1
Bournemouth,England,1632,1
Forest,England,1595,1
Burnley,England,1659,2
SheffieldUnited,England,1616,2
Norwich,England,1579,2
Watford,England,1562,2
WestBrom,England,1508,2
Luton,England,1505,2
Blackburn,England,1501,2
Preston,England,1500,2
Huddersfield,England,1499,2
Millwall,England,1496,2
QPR,England,1493,2
Middlesbrough,England,1488,2
Stoke,England,1483,2
Swansea,England,1469,2
BristolCity,England,1462,2
Coventry,England,1452,2
Cardiff,England,1450,2
Sunderland,England,1444,2
Rotherham,England,1440,2
Wigan,England,1440,2
Blackpool,England,1439,2
Hull,England,1425,2
Reading,England,1420,2
Birmingham,England,1411,2
RealMadrid,Spain,2004,1
Barcelona,Spain,1898,1
Atletico,Spain,1862,1
Villarreal,Spain,1857,1
Betis,Spain,1801,1
Sevilla,Spain,1779,1
Sociedad,Spain,1760,1
Bilbao,Spain,1752,1
Celta,Spain,1709,1
Osasuna,Spain,1697,1
Valencia,Spain,1694,1
Getafe,Spain,1654,1
Espanyol,Spain,1639,1
Valladolid,Spain,1638,1
RayoVallecano,Spain,1627,1
Almeria,Spain,1626,1
Mallorca,Spain,1624,1
Girona,Spain,1619,1
Cadiz,Spain,1607,1
Elche,Spain,1602,1
Levante,Spain,1661,2
Granada,Spain,1631,2
Eibar,Spain,1627,2
Alaves,Spain,1604,2
LasPalmas,Spain,1584,2
Oviedo,Spain,1582,2
Huesca,Spain,1545,2
Tenerife,Spain,1536,2
Leganes,Spain,1531,2
Cartagena,Spain,1530,2
Burgos,Spain,1514,2
Zaragoza,Spain,1509,2
Gijon,Spain,1496,2
Ponferradina,Spain,1494,2
Lugo,Spain,1480,2
IbizaEivissa,Spain,1469,2
Albacete,Spain,1464,2
Mirandes,Spain,1461,2
VillarrealB,Spain,1460,2
AndorraCF,Spain,1452,2
Malaga,Spain,1436,2
Santander,Spain,1431,2
Bayern,Germany,1965,1
Dortmund,Germany,1792,1
RBLeipzig,Germany,1766,1
Leverkusen,Germany,1754,1
UnionBerlin,Germany,1748,1
Freiburg,Germany,1737,1
Frankfurt,Germany,1725,1
Gladbach,Germany,1713,1
Hoffenheim,Germany,1690,1
Koeln,Germany,1690,1
Mainz,Germany,1674,1
Wolfsburg,Germany,1659,1
Stuttgart,Germany,1622,1
Werder,Germany,1605,1
Hertha,Germany,1599,1
Augsburg,Germany,1595,1
Schalke,Germany,1576,1
Bochum,Germany,1564,1
Hamburg,Germany,1587,2
Darmstadt,Germany,1547,2
Paderborn,Germany,1547,2
Bielefeld,Germany,1516,2
Duesseldorf,Germany,1514,2
Heidenheim,Germany,1510,2
StPauli,Germany,1485,2
Holstein,Germany,1473,2
Karlsruhe,Germany,1461,2
Hannover,Germany,1459,2
Fuerth,Germany,1455,2
Nuernberg,Germany,1448,2
Sandhausen,Germany,1434,2
Rostock,Germany,1414,2
Lautern,Germany,1405,2
Regensburg,Germany,1398,2
Braunschweig,Germany,1360,2
Magdeburg,Germany,1356,2
ParisSG,France,1896,1
Marseille,France,1742,1
Monaco,France,1737,1
Lyon,France,1732,1
Rennes,France,1719,1
Lens,France,1705,1
Lille,France,1692,1
Nice,France,1656,1
Strasbourg,France,1644,1
Nantes,France,1629,1
Reims,France,1592,1
Lorient,France,1572,1
Montpellier,France,1572,1
Toulouse,France,1563,1
Troyes,France,1553,1
Brest,France,1551,1
Clermont,France,1543,1
Auxerre,France,1523,1
Angers,France,1520,1
Ajaccio,France,1473,1
Bordeaux,France,1511,2
Sochaux,France,1508,2
Metz,France,1492,2
Saint-Etienne,France,1487,2
Guingamp,France,1480,2
ParisFC,France,1476,2
Caen,France,1450,2
LeHavre,France,1435,2
Amiens,France,1424,2
Dijon,France,1403,2
Nimes,France,1396,2
Valenciennes,France,1394,2
Grenoble,France,1387,2
Bastia,France,1379,2
Pau,France,1364,2
Rodez,France,1352,2
Annecy,France,1335,2
Niort,France,1332,2
USQuevilly,France,1320,2
Laval,France,1315,2
Ajax,Netherlands,1888,1
PSV,Netherlands,1753,1
Feyenoord,Netherlands,1730,1
Alkmaar,Netherlands,1663,1
Twente,Netherlands,1604,1
Utrecht,Netherlands,1524,1
Heerenveen,Netherlands,1500,1
Vitesse,Netherlands,1492,1
SpartaRotterdam,Netherlands,1486,1
Groningen,Netherlands,1456,1
Waalwijk,Netherlands,1448,1
Nijmegen,Netherlands,1423,1
Sittard,Netherlands,1398,1
Cambuur,Netherlands,1398,1
Excelsior,Netherlands,1395,1
GoAheadEagles,Netherlands,1383,1
Emmen,Netherlands,1375,1
Volendam,Netherlands,1360,1
Milan,Italy,1854,1
Inter,Italy,1852,1
Napoli,Italy,1846,1
Juventus,Italy,1769,1
Atalanta,Italy,1754,1
Lazio,Italy,1748,1
Roma,Italy,1743,1
Udinese,Italy,1676,1
Fiorentina,Italy,1649,1
Sassuolo,Italy,1642,1
Torino,Italy,1638,1
Verona,Italy,1625,1
Bologna,Italy,1602,1
Sampdoria,Italy,1560,1
Empoli,Italy,1545,1
Spezia,Italy,1533,1
Lecce,Italy,1526,1
Salernitana,Italy,1525,1
Monza,Italy,1505,1
Cremonese,Italy,1483,1
Cagliari,Italy,1537,2
Genoa,Italy,1537,2
Brescia,Italy,1501,2
Benevento,Italy,1495,2
Frosinone,Italy,1460,2
Ascoli,Italy,1457,2
Venezia,Italy,1449,2
Cittadella,Italy,1447,2
Parma,Italy,1445,2
Spal,Italy,1421,2
Pisa,Italy,1419,2
Perugia,Italy,1409,2
Reggina,Italy,1409,2
Ternana,Italy,1401,2
Bari,Italy,1378,2
Palermo,Italy,1359,2
Como,Italy,1359,2
Suedtirol,Italy,1351,2
Cosenza,Italy,1348,2
Modena,Italy,1341,2
Benfica,Portugal,1818,1
Porto,Portugal,1801,1
Sporting,Portugal,1784,1
Braga,Portugal,1694,1
Guimaraes,Portugal,1519,1
